问题,选项1,选项2,选项3,选项4,答案
“体育”与“垒球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“光阴”与“岁月” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“低头”与“昂首” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“乐器”与“打击乐器” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“阔叶林”与“白桦林” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“公文”与“文牍” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“计算机”与“大型计算机” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“低谷”与“低潮” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“生物”与“动物” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“倾倒”与“佩服” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“成就”与“成绩” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“报纸”与“人民日报” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“名册”与“簿籍” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“光景”与“景色” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“安全”与“风险” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“服装”与“行头” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,A
“计算机”与“个人计算机” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“儿科”与“小儿神经外科” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“麻烦”与“便利” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“体育”与“网球” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,C
“经典”与“平庸” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
“积极”与“消极” 这两个词语具有以下哪种语义关系？,近义,反义,上下位,整体部分,B
