问题,选项1,选项2,选项3,选项4,答案
以下哪句话中“配方”的意思(或用法)与其他句子不同。,通过配方，方程变成了完全平方式。,还没有把握是否能找到一个配方。,还是原来的配方，还是原来的味道，客人们都吃的非常的开心。,我们自己生产护发产品，都使用草药配方。,A
以下哪句话中“装饰”的意思(或用法)与其他句子不同。,装饰的华丽可以显示出一个人的富有,这位装修工用极其现代化的陈设装饰这家旅馆。,极具艺术气息的装饰画，如摩登女郎般跃然于空中，打破传统限制,商店的橱窗里陈列着许多漂亮的装饰品。,B
以下哪句话中“陆”的意思(或用法)与其他句子不同。,上课铃声响了，正在游戏的同学们陆续地回教室准备上课。,图上部的横线段表示陆地。,陆上侵蚀常夷平成准平原。,经济萧条正在大陆上蔓延。,A
以下哪句话中“黄牛”的意思(或用法)与其他句子不同。,我去年就被迫向黄牛党买票。,如果年检费涨价了，年检站肯定会为客户提供一站式的年检服务，让车主不用再找“黄牛”代办。,黄牛们坚持漫天讨价。,黄牛虽然没有荷兰牧场的黑白花牛漂亮，但是它却很勤劳，和家乡里的人一样。,D
以下哪句话中“骨干”的意思(或用法)与其他句子不同。,哥哥参加工作不久，就成了研究所的业务骨干。,加强对国有骨干企业领导人员的管理,将每棵树作为一个树冠很矮的骨干枝来处理,我们应该把这些教学骨干大胆地提拔起来。,C
以下哪句话中“洗刷”的意思(或用法)与其他句子不同。,在我的洗刷下，我的臭球鞋变得焕然一新。,有些罪过只能补赎，不能洗刷！,秋雨洗刷过的天空，像大海一样湛蓝碧透。,雨水把街道洗刷了一遍，街道显得格外亮堂，都可以照出人影来了！,B
以下哪句话中“开方”的意思(或用法)与其他句子不同。,明智的大夫在开方之前先诊断。,求二进制数的乘方和开方的方法有多种。,一种最优的快速开方算法。,怎样算一个数的开方？,A
以下哪句话中“位置”的意思(或用法)与其他句子不同。,变换词语的位置，可以改变句子的内容。,在一个安静的位置上，看世界的热闹，去看热闹背后的无线广袤的世界，这也许是最合适我的性情的一种活法。,在公司中，爬到这个位置不容易,我就坐在我的位置上都没有变过,C
以下哪句话中“山头”的意思(或用法)与其他句子不同。,这几个家伙不愧是妖族的精英人员，拉山头的本事还真不小。,站在山头，青山绿水尽收眼底，令人心旷神怡。,连长仔细观察地形后，决定在山头的树林中设下埋伏。,此外，还有那些喜欢孤独的人，开车一路走着，你会看见一座小山头上矗立着一栋活动房屋，俯临着美丽景色。,A
以下哪句话中“倾倒”的意思(或用法)与其他句子不同。,一场大风使船倾倒。,他那精彩的表演令全场观众为之倾倒。,江山如此多娇，多少人为之倾倒！,回想当年他翩翩年少，不知有多少女孩子为他倾倒。,A
以下哪句话中“小儿科”的意思(或用法)与其他句子不同。,综合性医疗网站，提供妇产科小儿科内科以及外科资讯和讨论。,不，都太小儿科了。一定得是谋杀，血淋淋的谋杀，不过要做得干净利落。,我是小儿科医生，我叫djaberansari,小儿科医生玛丽亚说，影迷俱乐部拜访医院，会提升孩童的士气。,B
以下哪句话中“关门”的意思(或用法)与其他句子不同。,防盗警报响起后，员工们立即关门并通知警察。,由于人流已经结束，工作人员决定提前关门。,晚上10点是商店关门的时间，顾客需及时结账离开。,然大肠之不固，仍责在胃，关门之不紧，仍责在脾。,D
以下哪句话中“出口”的意思(或用法)与其他句子不同。,产量中有二十分之一出口。,你想出口成章，就得多读书，还要经常练习演讲。,我们的出口贸易已有些萎缩。,出口了货物，收进了外汇。,B
以下哪句话中“沐浴”的意思(或用法)与其他句子不同。,他正在洗澡间里沐浴。,一轮晚月升上天空，仓库的空场沐浴在月光之中。,温暖的沐浴使我放松。,在炎热的夏季，每天都可以用冷水沐浴。,B
以下哪句话中“光阴”的意思(或用法)与其他句子不同。,人生真的是一寸光阴一寸金。,虚度光阴，就等于浪费生命。,见龙驹持一月来相照，光阴所及，如冰著体，冷彻腑?。,光阴似箭，岁月如梭，要珍惜时间啊！,C
以下哪句话中“可以”的意思(或用法)与其他句子不同。,我可以邀请您跳这个舞吗？,你可以删掉不重要的细节。,你是问我这个怎么样是吗？我觉得可以。,病毒可以存在于自来水中。,C
以下哪句话中“结果”的意思(或用法)与其他句子不同。,院子里的小树结果了。,这场比赛激烈地进行着，最后的结果是双方战平。,他努力学习，最终的结果是他取得了优异的成绩。,他们经过漫长的辩论，结果达成了一个共识。,A
以下哪句话中“影响”的意思(或用法)与其他句子不同。,研究了在模拟太阳光和高压汞灯作用下，不同浓度的光催化剂和紫外光辐射强度对孔雀绿废液的光催化降解影响。,他从小受到古典音乐的影响。,故障电流限制器能够对公用电网中意外的电力干扰作出影响并消除这些干扰，防止客户的电能损失，防止损坏公用电网设备。,还对苯酚在蒙脱石修饰碳糊电极上的影响机理进行了探讨。,B
以下哪句话中“回肠”的意思(或用法)与其他句子不同。,范大昌走后，杨晓冬回肠九转，脑子里翻腾滚转着今后的问题。,回肠是人体器官名。,回肠的特点是，一侧缘连以肠系膜，另一侧缘有回肠进入盲肠的部位。,回肠，指连接空肠和盲肠的一段小肠，形状弯曲。,A
以下哪句话中“机动”的意思(或用法)与其他句子不同。,我也想有一辆机动车。,这笔经费你们可以机动使用。,你需要明确机动车第三者责任强制保险的功能。,机动车发生交通事故造成损害的，依照道路交通安全法的有关规定承担赔偿责任。,B
以下哪句话中“波罗蜜”的意思(或用法)与其他句子不同。,于念念中常修六波罗蜜，修慈心时，未离分别，未能不起我我所见。,他取出大字刻版的四本《金刚般若波罗蜜经》。,卖波罗蜜的是一个年轻娇小的小姐。,一场诵仁王护国般若波罗蜜经大会正在进行。,C
以下哪句话中“口服”的意思(或用法)与其他句子不同。,你的观点我虽然驳不倒，但并没有使我心服口服。,您可以服用口服退烧药。,这种粗暴的家长式作风，一言堂，肯定不会令所有人心服口服,老师摆事实讲道理，说得同学们心服口服。,B
以下哪句话中“突出”的意思(或用法)与其他句子不同。,这块岩石突出了一块,战士们突出了重围,做演讲时要突出重点,小明的成绩突出,B
以下哪句话中“活动”的意思(或用法)与其他句子不同。,这几个月来，老杨四处活动，机关用尽，也没能捞到官职。,班里的重要活动，如外出参观，召开家长会等，事先都要向校长请示。,同学们一再要求多开展些健康有益的课外活动。,咱们学校的课外活动丰富多彩。,A
以下哪句话中“空洞”的意思(或用法)与其他句子不同。,他用空洞的诺言欺骗了我。,若出现空洞，其直径总和小于4厘米。,在塔内的空洞部分填满高强混凝土。,河岸由于流水冲刷而成空洞。,A
以下哪句话中“风化”的意思(或用法)与其他句子不同。,公共场合裸露，有伤风化。,他败坏、损害社会的风化和教化。,不能借口解放思想，突破禁区，对一些有伤风化，危害治安的事情开口子。,这块石头风化严重。,D
以下哪句话中“新生”的意思(或用法)与其他句子不同。,原有的家系是一个法人团体，新生的家系也是法人团体。,新生儿时期是心理现象的发生时期，是个体心理活动的起点。,我当然快乐了，突然成为了北大新生班级的班长。,新生儿仰卧时，头常常偏向一侧，同时伸出该侧的手臂和腿，作出击剑状。,C
以下哪句话中“吐气”的意思(或用法)与其他句子不同。,藏獒发出了沉重的吐气声,赢得了比赛，他们终于可以扬眉吐气了,考上了重点大学，他扬眉吐气了,北京奥运会的圆满举办让中国人扬眉吐气,A
以下哪句话中“后天”的意思(或用法)与其他句子不同。,后天就要交作业了。,后天再说这事吧。,学习更多要靠后天的努力。,后天去哪玩啊？,C
以下哪句话中“低头”的意思(或用法)与其他句子不同。,我低头闻见一阵芬芳,生活中有很多不得不低头的瞬间,遇到困难，不允许低头,在生活中不允许你低头,A
以下哪句话中“左右”的意思(或用法)与其他句子不同。,从攻防的场面上看，主队已经左右了局势。,正如你所知，这段感情左右着我的一切，使我不能自已。,他是个双手拿枪的神枪手，左右两手均能百步穿杨。,是他的想法在左右着你？,C
以下哪句话中“究竟”的意思(或用法)与其他句子不同。,门前围满了人，小勇也想去看个究竟。,这件事我要探个究竟！,这个山洞里到底住着谁，我想探个究竟。,究竟怎么办，到时你见机行事好了。,D
