问题,选项1,选项2,选项3,选项4,答案
“动物试验证实了这种新药的抗癌作用。”这句话中“动物”与下列哪个词具有上下位关系？,栖息,沉淀,鸟类,蓝天,C
“我真的很害怕会麻烦到你”这句话中“麻烦”与下列哪个词具有反义关系？,便宜,麻花,便利,烦心,C
“她立志成为一名儿科医生。”这句话中“儿科”与下列哪个词具有上下位关系？,护士,挂号,小儿普外科,科目,C
“音乐还没有死去，只要乐器还在。”这句话中“乐器”与下列哪个词具有上下位关系？,电声乐器,电子音乐,古典音乐,流行音乐,A
“有时候服装是一个人身份的象征”这句话中“服装”与下列哪个词具有近义关系？,衣装,首饰,头饰,西装,A
“他拥有许多昂贵的笔”这句话中“笔”与下列哪个词具有上下位关系？,橡皮,尺子,圆规,毛笔,D
“体育运动在他的生活中没有地位。”这句话中“体育”与下列哪个词具有上下位关系？,网球,升旗,投球,射门,A
“交通工具的发展使跨国援助不再鞭长莫及。”这句话中“交通工具”与下列哪个词具有上下位关系？,风力,绿色,车,公共,C
“每个民族都有他们的特色服装”这句话中“服装”与下列哪个词具有近义关系？,首饰,灭绝,裙子,西装,B
“他正处于人生的低谷期”这句话中“低谷”与下列哪个词具有近义关系？,疲惫,难过,邋遢,颓势,D
“我要一份热菜，要加包心菜”这句话中“包心菜”与下列哪个词具有近义关系？,花菜,白菜,结球甘蓝,上海青,C
“别低头皇冠会掉”这句话中“低头”与下列哪个词具有反义关系？,额头,远视,头发,抬头,D
“夏天，就连平常几乎不动的植物们也显得异常干枯。”这句话中“植物”与下列哪个词具有上下位关系？,绿色,根部,花草,凋谢,C
“他擅长的乐器是小提琴”这句话中“乐器”与下列哪个词具有上下位关系？,导演,要塞,弹拨乐器,乐队,C
“小叮当宝物真多，大雄真幸福。”这句话中“宝物”与下列哪个词具有近义关系？,金玉,轮圈,珍珠,至宝,D
“有你真的会很安心”这句话中“安心”与下列哪个词具有反义关系？,胆子,心脏,安全,担心,D
“病毒不具有生物结构”这句话中“病毒”与下列哪个词具有上下位关系？,鸡冠,太阳,蓝藻,线粒体,B
“你这种自负的行为迟早会受到大家的鄙视”这句话中“自负”与下列哪个词具有反义关系？,关系,自己,谦虚,难过,C
“如果初中学生要参加体育、舞蹈等活动，那么每昼夜所需的热量消耗将在3000千卡以上。”这句话中“体育”与下列哪个词具有上下位关系？,拳击,比赛,时间,计分,A
“杜鹃在树林中啼叫”这句话中“杜鹃”与下列哪个词具有近义关系？,燕子,布谷,麻雀,苍鹰,B
“敦煌莫高窟壁画是我国古代艺术中的宝物。”这句话中“宝物”与下列哪个词具有近义关系？,珍贵,法宝,珍珠,瑰宝,D
“做学问要遵循登高必自卑的规律，不要希望一蹴而就。”这句话中“学问”与下列哪个词具有近义关系？,学术,才气,常识,学习,A
“体育是全面发展教育的重要组成部分。”这句话中“体育”与下列哪个词具有上下位关系？,竹篮,篮筐,球场,篮球,D
“体育应造就体格健壮的勇士，并且使健全的精神寓于健全的体格”这句话中“体育”与下列哪个词具有上下位关系？,羽绒服,冬奥会,羽毛球,羽毛,C
“病毒随处可见”这句话中“病毒”与下列哪个词具有上下位关系？,流感病毒,鸭绒被,叶绿体,疫苗,A
“最常见的木管乐器是簧片乐器。”这句话中“乐器”与下列哪个词具有上下位关系？,交响乐,乐曲,乐谱,打击乐器,D
“每天我都要去倾倒垃圾”这句话中“倾倒”与下列哪个词具有近义关系？,扑倒,倒出,摔倒,下降,B
“群众对体育运动的热情又高涨了。”这句话中“体育”与下列哪个词具有上下位关系？,十足,活动,足迹,足球,D
“计算机使得我们生活越来越便利”这句话中“计算机”与下列哪个词具有上下位关系？,微型计算机,U盘,毛笔,茶壶,A
“乐器分为许多的种类”这句话中“乐器”与下列哪个词具有上下位关系？,观众,摇滚乐,拉弦乐器,作曲家,C
“病毒不能独立生存”这句话中“病毒”与下列哪个词具有上下位关系？,细胞壁,细胞,液泡,细胞核,B
“这只笔不仅好看，而且耐用。”这句话中“笔”与下列哪个词具有上下位关系？,墨汁,钢笔,橡皮,尺子,B
“这个零食是进口的您不用担心”这句话中“进口”与下列哪个词具有反义关系？,外形,洋气,外国,出口,D
“我们要积极参与体育活动。”这句话中“体育”与下列哪个词具有上下位关系？,抽签,竞赛,板球,运动员,C
“体育是许多人生活中的重要内容。”这句话中“体育”与下列哪个词具有上下位关系？,球场,跑道,教练员,垒球,D
“假如我是个乐手，我要用乐器弹奏出芜湖的潺潺水声。”这句话中“乐器”与下列哪个词具有上下位关系？,键盘乐器,乐队,谱曲,键盘手,A
“荔枝也许是世界上最鲜最美的水果。”这句话中“水果”与下列哪个词具有上下位关系？,主食,蔬菜,苹果,绿色,C
“世界上许多古生物已经消灭了。”这句话中“生物”与下列哪个词具有上下位关系？,菌毛,隐晦,细胞壁,微生物,D
“我这么用心准备的礼物谁都会喜欢的”这句话中“用心”与下列哪个词具有反义关系？,马虎,情绪,心情,马上,A
“我要带我的女儿去给儿科医生做个全身检查。”这句话中“儿科”与下列哪个词具有上下位关系？,儿童,医生,科室,新生儿外科,D
“他们需要一种交通工具来周游全国。”这句话中“交通工具”与下列哪个词具有上下位关系？,交往,步行,飞行员,飞行器,D
“这个入口是通往商场的”这句话中“入口”与下列哪个词具有反义关系？,口腔,零食,出口,入门,C
