prompt,对象,状态,颜色,数量,位置,绘画风格,文化风格,手部,五官,性别,反常识
2个可爱的花瓣,"('花瓣',)",0,0,1,0,0,0,0,0,0,0
2个柔顺的玩具车,"('玩具车',)",0,0,1,0,0,0,0,0,0,2
3个清澈的咖啡杯,"('杯',)",0,0,1,0,0,0,0,0,0,0
3个清晰的长凳,"('长凳',)",0,0,1,0,0,0,0,0,0,2
3辆凌乱的摩托车,"('摩托车',)",0,0,1,0,0,0,0,0,0,2
4个抽象的锤子,"('锤子',)",0,0,1,0,0,0,0,0,0,0
爱丽丝梦境中逼真且巨大的食人花,"('爱丽丝梦境', '食人花')",0,0,0,1,0,0,0,0,0,2
白色的南瓜,"('南瓜',)",0,1,0,0,0,0,0,0,0,2
白色的闹钟,"('闹钟',)",0,1,0,0,0,0,0,0,0,0
白皙的湖泊,"('湖泊',)",0,1,0,0,0,0,0,0,0,2
白皙的阶梯,"('阶梯',)",0,1,0,0,0,0,0,0,0,2
白皙的鲜花,"('鲜花',)",0,1,0,0,0,0,0,0,0,2
摆在西餐餐具里的一张煎饼，浮世绘,"('餐具', '煎饼')",0,0,1,1,1,0,0,0,0,0
斑驳的梯子,"('梯子',)",0,0,0,0,0,0,0,0,0,0
斑驳的天空，有几朵灰色的云,"('天空', '云')",0,1,1,1,0,0,0,0,0,0
斑马背上背着一个马鞍，马鞍的表面非常平滑，浮世绘,"('斑马', '马鞍')",1,0,1,1,1,0,0,0,0,0
半透明的玻璃门上贴着十分美观的一对春联,"('玻璃门', '春联')",0,0,1,1,0,0,0,0,0,0
背着五颜六色行李的驼鹿，钢笔画,"('行李', '驼鹿')",0,2,0,1,1,0,0,0,0,0
被撕碎的纸币，出自新海诚,"('纸币',)",0,0,0,0,1,0,0,0,0,0
奔跑的骏马，画面锐利，出自新海诚,"('马',)",1,0,0,0,1,0,0,0,0,0
逼真的鸵鸟，新海诚,"('鸵鸟',)",0,0,0,0,1,0,0,0,0,0
逼真的鱼,"('鱼',)",0,0,0,0,0,0,0,0,0,0
笔记本电脑屏幕的背景是一朵凋零的花，超现实主义,"('电脑屏幕', '背景', '花')",0,0,1,1,0,1,0,0,0,0
笔记本电脑屏幕里播放的视频，视频内容是三个跳舞的演员,"('电脑屏幕', '视频', '演员')",1,0,1,1,0,0,0,2,0,0
表情丰富的中国老人,"('老人', '表情')",0,0,0,0,0,1,0,2,0,0
表情十分生动的黑猩猩,"('黑猩猩',)",0,0,0,0,0,0,0,0,0,0
波光粼粼的水塘，中国风,"('水塘',)",0,0,0,0,0,1,0,0,0,0
餐厅里跳舞的服务生，手上拿着一根玉米，山水画,"('餐厅', '服务生', '手', '玉米')",1,0,1,1,1,0,2,2,0,0
茶几上造型别致的杯子，二次元风格,"('茶几', '杯子')",0,0,0,1,0,1,0,0,0,0
茶碗里散发阵阵热气，丁达尔效应,"('茶碗', '热气')",1,0,0,0,0,0,0,0,0,0
柴犬身边散落着被咬碎的报纸，复古未来主义,"('柴犬', '报纸')",1,0,0,1,0,1,0,0,0,0
超凡脱俗的仙人，手上拿着扇子,"('仙人', '手', '扇子')",0,0,0,1,0,0,2,2,0,2
超凡脱俗的圆明园,"('圆明园',)",0,0,0,0,0,0,0,0,0,0
超现实主义的白发老人站在高山之上,"('白发', '老人', '高山')",1,1,0,1,0,1,0,2,0,0
超现实主义的凯旋门，非常细致,"('凯旋门',)",0,0,0,0,0,1,0,0,0,0
超现实主义的山羊拿着精美的花瓶,"('山羊', '花瓶')",0,0,0,1,0,1,0,0,0,2
超长的发丝，油画,"('发丝',)",0,0,0,0,1,0,0,0,0,0
城市十字路口有一个闪耀的路灯，高分辨率,"('十字路口', '城市', '路灯')",0,1,1,1,0,0,0,0,0,0
充满浪漫氛围的轮船，丁达尔效应,"('轮船',)",0,0,0,0,0,0,0,0,0,0
抽象的红色日出,"('日出',)",0,1,0,0,0,0,0,0,0,0
抽象的机甲城市，赛博朋克,"('机甲城市',)",0,0,0,0,0,1,0,0,0,2
抽象的医院，宫崎骏,"('医院',)",0,0,0,0,1,0,0,0,0,0
出自吴冠中的一个唐代钟楼,"('钟楼',)",0,0,1,0,1,1,0,0,0,0
出租车挡风玻璃上有一朵凋零的花，丁达尔效应,"('出租车', '玻璃', '花')",0,0,1,1,0,0,0,0,0,0
穿着工装的工人在用手锯据一张桌子，超现实,"('工装', '工人', '手锯', '桌子')",1,0,1,1,0,1,2,2,0,0
穿着华丽的衣服的女士坐在椅子上，素描,"('女士', '椅子', '衣服')",0,0,0,1,1,0,0,2,1,0
刺猬的背上有几根刺断掉了，吉卜力,"('刺猬', '刺')",0,0,1,1,1,0,0,0,0,0
从高空俯瞰下建筑错综复杂的城市，出自新海诚,"('高空', '城市', '建筑')",0,0,0,1,1,0,0,0,0,0
从山脚下往上看世界上最高的山，十分宏伟，精致细节,"('山脚', '世界', '山')",0,0,0,1,0,0,0,0,0,0
带着头盔作战的老虎，流行于pixiv,"('老虎', '头盔')",1,0,0,1,1,0,0,0,0,0
戴着VR眼睛的蜥蜴，超现实主义,"('VR眼睛', '蜥蜴')",0,0,0,1,0,1,0,0,0,2
戴着耳环的牧师在祈祷，出自宫崎骏,"('耳环', '牧师')",1,0,0,1,1,0,0,2,0,0
戴着皇冠的人像,"('皇冠', '人像')",0,0,0,1,0,0,0,2,0,0
