问题,选项1,选项2,选项3,选项4,答案
以下哪个句子使用了比喻修辞手法？,花坛暖房里，它不开，冰天雪地里，它盛开，寒风霜气中，它开放。,一条幽径，弯曲迂回中总会激起心旷神怡的神往，一波巨澜，潮起潮落时更能叠出惊心动魄的鸣响，一个故事，惋惜悲婉里才有肝肠寸段的凄凉。,红叶挂满树枝，像燃烧的火焰雨下得很大，像断了线的珠子。,午时的花经过阳光的沐浴，似乎精神了好多，伸了下腰肢，打开了花瓣，迎接一天当中最强的光照，花开了。,C
以下哪个句子使用了拟人修辞手法？,您的眼泪是世界上最名贵的珍珠。,蜘蛛把苍蝇拖来拖去，等苍蝇累得筋疲力尽，蜘蛛才高高兴兴地享用了这顿美餐。,山中的石，当你背靠群峰时，意志就坚了，水中的萍，当你随波逐流后，根基就没了，空中的鸟，当你展翅蓝天中，宇宙就大了。,“留得残荷听雨声”是一种宽容的潇洒，“一日看尽长安花”是一种得意的潇洒，“醉卧沙场君莫笑”是一种豪迈的潇洒。,B
以下哪个句子使用了反问修辞手法？,你昨天回家后做了什么？,你放假了出去玩还是在家学习呢？,太阳离我们有多远呢？,中国人怎么能不爱自己的祖国呢？,D
以下哪个句子使用了拟人修辞手法？,如果忘记是春天里消逝的冰层，那么铭记就是灼灼其华的桃花，如果忘记是夏季里落英缤纷的桃瓣，那么铭记就是映日别样红的荷花，如果忘记是秋季里已无挈雨盖的荷花，那么铭记就是犹有傲霜枝的金菊。,没有父母，就不会有我们自己，没有亲朋师长，就感受不到人间的真情。,黄昏悄悄的走来，黑暗慢慢的笼罩了村庄。,红红的太阳像一个大火球。,C
以下哪个句子使用了排比修辞手法？,山坡上，大路边，村子口，榛树叶子全都红了，红得像一团团火，把人们的心也给燃烧起来了。,桃树杏树梨树，你不让我，我不让你，都开满了花赶趟儿,“留得残荷听雨声”是一种宽容的潇洒，“一日看尽长安花”是一种得意的潇洒，“醉卧沙场君莫笑”是一种豪迈的潇洒。,荷叶上有几颗像钻石那么闪亮的小露珠。,C
以下哪个句子使用了比喻修辞手法？,梦想，犹如一盏灯，点亮明天。,静物是凝固的美，动景是流动的美，直线是流畅的美，曲线是婉转的美。,没有父母，就不会有我们自己，没有亲朋师长，就感受不到人间的真情。,船头飞溅起的浪花，吟唱着欢乐的歌儿。,A
以下哪个句子使用了比喻修辞手法？,清澈的小溪，你清脆悦耳的歌声多么欢快。,水是野的，一会儿撅着屁股，赌着气又自个儿闹去了。,友谊是花园中美丽的花朵。,感恩每一位父母，用我们的爱回报他们无私的奉献，用我们的心抚平他们心中的痛楚，感恩每一位老师，用我们的情报答他们无量的教诲，用我们的成绩来换取他们欣慰的一笑，感恩给予我们关爱的人，感恩美丽的大自然，,C
以下哪个句子使用了比喻修辞手法？,条岭都是那么温顺，谁也不孤峰突起，咄咄逼人。,花越开越密，越开越盛，不久便挂满了枝头。走近看，仿佛是一个个活泼的小喇叭，正鼓着劲儿在吹呢。,人们都爱春天，爱她的山青水绿，爱她的万紫千红，人们都爱秋天，爱她的秋高气爽，爱她的硕果累累，人们都爱夏天，爱她的夏雨绵绵，爱她的艳阳高照，人们都爱冬天，爱她的白雪皑皑，爱她的洁白无瑕。,人们爱秋天，爱她的秋高气爽，爱她的硕果累累。,B
以下哪个句子使用了反问修辞手法？,你爸爸是科学家吗？,下雨后会有蘑菇长出来吗？,你周末去购物吗？,晚了也得去，你怎么能够逃学？,D
以下哪个句子使用了拟人修辞手法？,红红的太阳像一个大火球。,静物是凝固的美，动景是流动的美，直线是流畅的美，曲线是婉转的美。,月明人静的夜里，它们便唱起歌来，织，织，织，织呀。织，织，织，织呀。那歌声真好听。赛过催眠曲。,荷花真美啊，美的吸引来许多中外游客，荷花真香啊，香的引来许多蜜蜂和蝴蝶，荷花真多啊，多得让人眼花缭乱。,C
