prompt,entity,status,color,number,location,paint,culture,hand,face,gender,illogical
0,"('0',)",0,0,0,0,0,0,0,0,0,0
42,"('42',)",0,0,0,0,0,0,0,0,0,0
101,"('101',)",0,0,0,0,0,0,0,0,0,0
300,"('300',)",0,0,0,0,0,0,0,0,0,0
300 movie titles,"('titles',)",0,0,1,0,0,0,0,0,0,0
7 dogs sitting around a poker table,"('dogs', 'table')",1,0,1,1,0,0,0,0,0,2
"7 dogs sitting around a poker table, two of which are turning away.","('dogs', 'table')",1,0,1,1,0,0,0,0,0,2
a baby daikon radish,"('daikon radish',)",0,0,1,0,0,0,0,0,0,0
a baby daikon radish in a tutu,"('baby daikon radish', 'tutu')",0,0,1,1,0,0,0,0,0,2
a baby daikon radish in a tutu walking a dog,"('daikon radish', 'tutu', 'dog')",1,0,1,1,0,0,0,0,0,2
a baby penguin,"('baby penguin',)",0,0,1,0,0,0,0,0,0,0
"a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants","('penguin', 'hat', 'gloves', 'shirt', 'pants')",1,1,1,1,0,0,0,0,0,2
a ball,"('ball',)",0,0,1,0,0,0,0,0,0,0
a ballet dancer next to a waterfall,"('dancer', 'waterfall')",0,0,1,1,0,0,0,2,0,0
a bamboo ladder,"('ladder',)",0,0,1,0,0,0,0,0,0,0
a bamboo ladder propped up against an oak tree,"('ladder', 'tree')",0,0,1,1,0,0,0,0,0,0
a banana,"('banana',)",0,0,1,0,0,0,0,0,0,0
a banana without its peel,"('banana', 'peel')",0,0,1,0,0,0,0,0,0,0
"A bar of chocolate without a wrapper that has the word ""WRAPPER"" printed on it.","('chocolate', 'wrapper', 'WRAPPER')",0,0,1,1,0,0,0,0,0,0
A bare kitchen has wood cabinets and white appliances,"('kitchen', 'cabinets', 'appliances')",0,1,1,0,0,0,0,0,0,0
a barred owl peeking out from dense tree branches,"('owl', 'tree branches')",1,0,1,1,0,0,0,0,0,0
a basketball game between a team of four cats and a team of three dogs,"('basketball game', 'cats', 'dogs')",0,0,1,0,0,0,0,0,0,2
a basketball hoop with a large blue ball stuck in it,"('basketball hoop', 'ball')",0,1,1,1,0,0,0,0,0,0
a basketball to the left of two soccer balls on a gravel driveway,"('basketball', 'balls', 'driveway')",0,0,1,1,0,0,0,0,0,0
a bat landing on a baseball bat,"('bat', 'baseball bat')",1,0,1,1,0,0,0,0,0,0
a beach with a cruise ship passing by,"('beach', 'cruise ship')",1,0,1,0,0,0,0,0,0,0
